,provider,kind,timestamp,file,p95_ms,max_duration_ms,avg_duration_ms,min_duration_ms,failed_rate_pct,checks_passed,checks_failed,http_reqs
0,aws,load,134926,results/k6/aws/load/load_20250919_134926.json,28122.736249999998,185710.263,25007.33501496523,19140.331,0,32676,0,10892
1,aws,load,20250922T203634Z,results/k6/aws/load/load_20250922T203634Z.json,0,0,0,0,100,0,192,64
2,aws,load,20250922T204013Z,results/k6/aws/load/load_20250922T204013Z.json,27334.1573,1740225.746,24917.759248993858,17459.099,0,32796,0,10932
3,aws,load,20250923T192902Z,results/k6/aws/load/load_20250923T192902Z.json,28181.7451,1508180.8639999998,26276.123458283586,17396.798,0,32685,0,10895
4,aws,smoke,115542,results/k6/aws/smoke/smoke_20250919_115542.json,28022.3946,239572.251,25222.58750877192,18945.82,0,1026,0,342
5,aws,smoke,20250922T203419Z,results/k6/aws/smoke/smoke_20250922T203419Z.json,0,0,0,0,100,0,2985,995
6,aws,smoke,20250922T203614Z,results/k6/aws/smoke/smoke_20250922T203614Z.json,0,0,0,0,100,0,2985,995
7,aws,smoke,20250922T203905Z,results/k6/aws/smoke/smoke_20250922T203905Z.json,26897.853349999998,43088.959,23946.393166176465,18648.633,0,2040,0,680
8,aws,smoke,20250922T204659Z,results/k6/aws/smoke/smoke_20250922T204659Z.json,0,0,0,0,100,0,540,180
9,aws,smoke,20250923T192837Z,results/k6/aws/smoke/smoke_20250923T192837Z.json,27871.222749999997,43065.983,24103.467635294146,18775.142,0,2040,0,680
10,gcp,load,134926,results/k6/gcp/load/load_20250919_134926.json,45058.06525,165705.177,42405.42390765171,37885.045,0,31836,0,10612
11,gcp,load,20250922T204848Z,results/k6/gcp/load/load_20250922T204848Z.json,43804.2626,1810422.996,43700.905802217196,34815.489,0,31929,0,10643
12,gcp,load,20250923T193540Z,results/k6/gcp/load/load_20250923T193540Z.json,45202.4275,1206876.368,42525.566594909295,35427.689999999995,0,31941,0,10647
13,gcp,smoke,115542,results/k6/gcp/smoke/smoke_20250919_115542.json,45238.293999999994,276306.16500000004,43130.255451263554,38484.129,0,831,0,277
14,gcp,smoke,20250922T204733Z,results/k6/gcp/smoke/smoke_20250922T204733Z.json,43537.6712,54402.839,40832.85660854703,36822.107,0,1755,0,585
15,gcp,smoke,20250923T193519Z,results/k6/gcp/smoke/smoke_20250923T193519Z.json,46157.637650000004,67605.533,41622.64807705481,35306.03,0,1752,0,584
